,Airline,Departure,Arrival,Dep_time,Arr_time,Duration,Journey_Type,Price
0,IndiGo,New Delhi,Varanasi,15:30,16:50,1h 20m,1 Stop,"2,060"
1,IndiGo,New Delhi,Varanasi,05:05,06:30,1h 25m,1 Stop,"2,060"
2,Go First,New Delhi,Varanasi,09:10,10:40,1h 30m,2 Stop(s),"2,060"
3,IndiGo,New Delhi,Varanasi,17:45,19:20,1h 35m,1 Stop,"2,060"
4,SpiceJet,New Delhi,Varanasi,17:30,19:00,1h 30m,1 Stop,"2,068"
5,SpiceJet,New Delhi,Varanasi,06:25,08:20,1h 55m,1 Stop,"2,068"
6,Vistara,New Delhi,Varanasi,13:20,14:45,1h 25m,1 Stop,"2,154"
7,Go First,New Delhi,Varanasi,18:55,20:10,1h 15m,1 Stop,"2,625"
8,IndiGo,New Delhi,Varanasi,10:25,11:55,1h 30m,1 Stop,"2,793"
9,Air India,New Delhi,Varanasi,10:15,11:35,1h 20m,1 Stop,"3,666"
10,Vistara,New Delhi,Varanasi,05:45,15:35,9h 50m,1 Stop,"5,674"
11,Go First,New Delhi,Varanasi,06:00,12:30,6h 30m,1 Stop,"5,819"
12,Air India,New Delhi,Varanasi,17:50,"12:40
+ 1 day",18h 50m,1 Stop,"5,894"
13,Vistara,New Delhi,Varanasi,20:40,"15:35
+ 1 day",18h 55m,1 Stop,"6,023"
14,Go First,New Delhi,Varanasi,21:00,"13:20
+ 1 day",16h 20m,1 Stop,"6,067"
15,Air India,New Delhi,Varanasi,19:00,"12:40
+ 1 day",17h 40m,1 Stop,"6,209"
16,Air India,New Delhi,Varanasi,17:50,"12:40
+ 1 day",18h 50m,1 Stop,"6,209"
17,Vistara,New Delhi,Varanasi,21:40,"15:35
+ 1 day",17h 55m,1 Stop,"6,230"
18,Go First,New Delhi,Varanasi,02:00,13:20,11h 20m,1 Stop,"6,401"
19,Go First,New Delhi,Varanasi,22:30,"13:20
+ 1 day",14h 50m,1 Stop,"6,401"
